id,played_first,moves,winner
510,1,"6,4,5,4,4,4,3,2,3,2,3,2,2,2,4,2,5,4,6,6,1,5,0,6,6,6,0,3,5",1
511,-1,"3,6,4,0,4,5,4,4,4,1,4,2,6,5,6,6,6,5,3,6,5",-1
512,1,"0,4,6,4,4,4,5,4,4,6,6,6,5,5,3,5,6,6,5,2,5,2,3,2,3,2",-1
513,1,"0,4,6,4,4,4,4,4,5,2,5,2,5,2,0,2",-1
514,1,"6,4,5,4,6,4,4,4,5,4,5,2,2,5,1,5,0,6,0,6,1,5,6,6,1,2,2,2,2,3,3",1
515,-1,"3,6,4,5,4,3,4,2,4",-1
516,1,"0,4,1,4,4,4,4,4,6,2,6,5,3,2,6,6,5,5,5,5,3,3",-1
517,1,"0,4,0,6,0,5,3,6,5,6,6,6,5,3,3,4,4,4,5,3,3,3,4,5,6,5,4,2,2,2,1,2,1,0,0,0,1,1",-1
518,1,"6,4,6,4,6,4,4,4,6",1
519,-1,"3,0,4,0,6,5,6,5,6,2,6",-1
520,1,"6,4,6,4,6,4,6",1
521,-1,"3,4,4,2,3,2,3,3,3,4,3,4,1,4,1,4",1
522,-1,"3,0,4,1,4,2,4,4,4,6,4,1,6,6,6,0,5,6,6,5,5",-1
523,1,"2,4,1,5,1,5,3,6,2,5,5,5,1,6,6,6,4,5,6,6,4,2,3",1
524,-1,"3,4,4,3,3,2,3,2,3,3,4,5,4,4,4,5,5,1,2",-1
525,1,"3,2,2,4,1,4,1,4,4,4,1,4,0,6,0,6,0,6,6,6,0",1
526,-1,"3,2,3,1,3,3,3,1,3,5,5,1,1,0,4,0,6,0,5,0",1
527,-1,"3,6,4,3,4,4,4,4,4,5,3,3,3,3,2,1,2,2,2,2,2,1",1
528,-1,"3,6,4,4,4,4,4,4,3,3,3,3,3,2,5,1,5,0,5,5,5,0,6,0,6,0",1
529,-1,"3,6,4,3,4,3,4,3,4",-1
530,1,"6,4,0,4,4,4,6,4,1,4,1,6,1,2,3,2,1",1
531,-1,"3,0,4,6,4,3,4,2,4",-1
532,1,"6,4,2,4,3,2,4,2,2,2,1,2,0",1
533,-1,"3,3,5,3,4,3,2",-1
534,1,"6,4,4,4,4,4,4,5,5,2,5,3",-1
